Data supplied by UK-AIR on 4/5/2023
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2022,01:00,31.075,R,ugm-3 (FIDAS),0.41358,R,ugm-3,7.40991,R,ugm-3,8.04405,R,ugm-3,39.18224,R,ugm-3,21.533,R,ugm-3 (Ref.eq)
01-01-2022,02:00,23.400,R,ugm-3 (FIDAS),0.38176,R,ugm-3,7.69668,R,ugm-3,8.28204,R,ugm-3,38.84963,R,ugm-3,15.543,R,ugm-3 (Ref.eq)
01-01-2022,03:00,20.225,R,ugm-3 (FIDAS),0.41358,R,ugm-3,6.02957,R,ugm-3,6.66371,R,ugm-3,41.71013,R,ugm-3,13.844,R,ugm-3 (Ref.eq)
01-01-2022,04:00,14.850,R,ugm-3 (FIDAS),0.38176,R,ugm-3,3.46046,R,ugm-3,4.04582,R,ugm-3,50.49121,R,ugm-3,9.717,R,ugm-3 (Ref.eq)
01-01-2022,05:00,16.525,R,ugm-3 (FIDAS),0.38176,R,ugm-3,4.65041,R,ugm-3,5.23577,R,ugm-3,46.89895,R,ugm-3,10.472,R,ugm-3 (Ref.eq)
01-01-2022,06:00,18.725,R,ugm-3 (FIDAS),0.38176,R,ugm-3,5.55477,R,ugm-3,6.14013,R,ugm-3,46.15056,R,ugm-3,11.675,R,ugm-3 (Ref.eq)
01-01-2022,07:00,18.450,R,ugm-3 (FIDAS),0.60446,R,ugm-3,6.92684,R,ugm-3,7.85366,R,ugm-3,44.25465,R,ugm-3,11.297,R,ugm-3 (Ref.eq)
01-01-2022,08:00,18.150,R,ugm-3 (FIDAS),0.57264,R,ugm-3,11.30703,R,ugm-3,12.18507,R,ugm-3,41.41078,R,ugm-3,10.448,R,ugm-3 (Ref.eq)
01-01-2022,09:00,18.650,R,ugm-3 (FIDAS),0.73171,R,ugm-3,8.73083,R,ugm-3,9.85277,R,ugm-3,44.50411,R,ugm-3,10.024,R,ugm-3 (Ref.eq)
