MONTHLY MEANS
Site,month (mm/yyyy),monthly mean value (metres),No. of days used to calculate mean.,Datum,Channel
PORTSMOUTH,01/2009,2.904,31,ACD,Primary
PORTSMOUTH,02/2009,2.836,28,ACD,Primary
PORTSMOUTH,03/2009,2.818,31,ACD,Primary
PORTSMOUTH,04/2009,2.841,30,ACD,Primary
PORTSMOUTH,05/2009,2.809,31,ACD,Primary
PORTSMOUTH,06/2009,2.877,30,ACD,Primary
PORTSMOUTH,07/2009,2.923,31,ACD,Primary
PORTSMOUTH,08/2009,2.887,31,ACD,Primary
PORTSMOUTH,09/2009,2.846,30,ACD,Primary
PORTSMOUTH,10/2009,2.936,31,ACD,Primary
PORTSMOUTH,11/2009,3.091,30,ACD,Primary
PORTSMOUTH,12/2009,3.015,31,ACD,Primary
PORTSMOUTH,01/2010,2.864,31,ACD,Primary
PORTSMOUTH,02/2010,2.971,28,ACD,Primary
PORTSMOUTH,03/2010,2.863,31,ACD,Primary
PORTSMOUTH,04/2010,2.802,30,ACD,Primary
PORTSMOUTH,05/2010,2.822,31,ACD,Primary
PORTSMOUTH,06/2010,2.853,30,ACD,Primary
PORTSMOUTH,07/2010,2.867,31,ACD,Primary
PORTSMOUTH,08/2010,2.913,31,ACD,Primary
PORTSMOUTH,09/2010,2.925,30,ACD,Primary
PORTSMOUTH,10/2010,2.987,31,ACD,Primary
PORTSMOUTH,11/2010,3.001,30,ACD,Primary
PORTSMOUTH,12/2010,2.904,31,ACD,Primary
PORTSMOUTH,01/2011,2.857,31,ACD,Primary
PORTSMOUTH,02/2011,2.87,28,ACD,Primary
PORTSMOUTH,03/2011,2.747,31,ACD,Primary
PORTSMOUTH,04/2011,2.812,30,ACD,Primary
PORTSMOUTH,05/2011,2.822,31,ACD,Primary
PORTSMOUTH,06/2011,2.879,30,ACD,Primary
PORTSMOUTH,07/2011,2.894,31,ACD,Primary
PORTSMOUTH,08/2011,2.91,31,ACD,Primary
PORTSMOUTH,09/2011,2.927,30,ACD,Primary
PORTSMOUTH,10/2011,2.926,31,ACD,Primary
PORTSMOUTH,11/2011,2.962,30,ACD,Primary
PORTSMOUTH,12/2011,2.97,31,ACD,Primary
PORTSMOUTH,01/2012,2.845,31,ACD,Primary
PORTSMOUTH,02/2012,2.652,29,ACD,Primary
PORTSMOUTH,03/2012,2.693,22,ACD,Primary
PORTSMOUTH,04/2012,2.938,30,ACD,Primary
PORTSMOUTH,05/2012,2.859,31,ACD,Primary
PORTSMOUTH,06/2012,2.917,30,ACD,Primary
PORTSMOUTH,07/2012,2.909,31,ACD,Primary
PORTSMOUTH,08/2012,2.95,21,ACD,Primary
PORTSMOUTH,09/2012,2.934,26,ACD,Primary
PORTSMOUTH,10/2012,3.021,14,ACD,Primary
PORTSMOUTH,11/2012,2.993,23,ACD,Primary
PORTSMOUTH,12/2012,2.952,23,ACD,Primary
PORTSMOUTH,07/2013,2.968,6,ACD,Primary
PORTSMOUTH,08/2013,2.899,18,ACD,Primary
PORTSMOUTH,09/2013,2.924,28,ACD,Primary
PORTSMOUTH,10/2013,3.024,31,ACD,Primary
PORTSMOUTH,11/2013,2.925,30,ACD,Primary
PORTSMOUTH,12/2013,2.994,31,ACD,Primary
PORTSMOUTH,01/2014,3.05,31,ACD,Primary
PORTSMOUTH,02/2014,3.065,28,ACD,Primary
PORTSMOUTH,03/2014,2.862,31,ACD,Primary
PORTSMOUTH,04/2014,2.91,30,ACD,Primary
PORTSMOUTH,05/2014,2.881,31,ACD,Primary
PORTSMOUTH,06/2014,2.877,30,ACD,Primary
PORTSMOUTH,07/2014,2.919,31,ACD,Primary
PORTSMOUTH,08/2014,2.956,31,ACD,Primary
PORTSMOUTH,09/2014,2.939,30,ACD,Primary
PORTSMOUTH,10/2014,3.03,31,ACD,Primary
PORTSMOUTH,11/2014,3.086,30,ACD,Primary
PORTSMOUTH,12/2014,2.911,31,ACD,Primary
PORTSMOUTH,01/2015,2.932,31,ACD,Primary
PORTSMOUTH,02/2015,2.807,28,ACD,Primary
PORTSMOUTH,03/2015,2.779,31,ACD,Primary
PORTSMOUTH,04/2015,2.798,30,ACD,Primary
PORTSMOUTH,05/2015,2.882,31,ACD,Primary
PORTSMOUTH,06/2015,2.824,30,ACD,Primary
PORTSMOUTH,07/2015,2.915,31,ACD,Primary
PORTSMOUTH,08/2015,2.943,31,ACD,Primary
PORTSMOUTH,09/2015,2.943,30,ACD,Primary
PORTSMOUTH,10/2015,2.966,31,ACD,Primary
PORTSMOUTH,11/2015,3.018,30,ACD,Primary
PORTSMOUTH,12/2015,3.024,31,ACD,Primary
PORTSMOUTH,01/2016,3.038,31,ACD,Primary
PORTSMOUTH,02/2016,2.962,29,ACD,Primary
PORTSMOUTH,03/2016,2.832,31,ACD,Primary
PORTSMOUTH,04/2016,2.917,30,ACD,Primary
PORTSMOUTH,05/2016,2.914,31,ACD,Primary
PORTSMOUTH,06/2016,2.911,30,ACD,Primary
PORTSMOUTH,07/2016,2.893,31,ACD,Primary
PORTSMOUTH,08/2016,2.912,31,ACD,Primary
PORTSMOUTH,09/2016,2.955,30,ACD,Primary
PORTSMOUTH,10/2016,2.909,31,ACD,Primary
PORTSMOUTH,11/2016,2.969,30,ACD,Primary
PORTSMOUTH,12/2016,2.897,31,ACD,Primary
PORTSMOUTH,01/2017,2.864,31,ACD,Primary
PORTSMOUTH,02/2017,2.902,28,ACD,Primary
PORTSMOUTH,03/2017,2.878,31,ACD,Primary
PORTSMOUTH,04/2017,2.812,30,ACD,Primary
PORTSMOUTH,05/2017,2.904,31,ACD,Primary
PORTSMOUTH,06/2017,2.925,30,ACD,Primary
PORTSMOUTH,07/2017,2.936,31,ACD,Primary
PORTSMOUTH,08/2017,2.928,31,ACD,Primary
PORTSMOUTH,09/2017,2.978,30,ACD,Primary
PORTSMOUTH,10/2017,2.974,31,ACD,Primary
PORTSMOUTH,11/2017,2.966,30,ACD,Primary
PORTSMOUTH,12/2017,2.952,31,ACD,Primary
PORTSMOUTH,01/2018,3.007,22,ACD,Primary
PORTSMOUTH,05/2018,2.86,22,ACD,Primary
PORTSMOUTH,06/2018,2.862,30,ACD,Primary
PORTSMOUTH,07/2018,2.895,31,ACD,Primary
PORTSMOUTH,08/2018,2.914,31,ACD,Primary
PORTSMOUTH,09/2018,2.909,30,ACD,Primary
PORTSMOUTH,10/2018,2.938,31,ACD,Primary
PORTSMOUTH,11/2018,3.016,30,ACD,Primary
PORTSMOUTH,12/2018,2.99,31,ACD,Primary
PORTSMOUTH,01/2019,2.869,26,ACD,Primary
PORTSMOUTH,02/2019,2.85,13,ACD,Primary
PORTSMOUTH,03/2019,2.909,31,ACD,Primary
PORTSMOUTH,04/2019,2.91,29,ACD,Primary
PORTSMOUTH,05/2019,2.872,31,ACD,Primary
PORTSMOUTH,06/2019,2.906,30,ACD,Primary
PORTSMOUTH,07/2019,2.93,31,ACD,Primary
PORTSMOUTH,08/2019,2.943,31,ACD,Primary
PORTSMOUTH,09/2019,2.947,30,ACD,Primary
PORTSMOUTH,10/2019,3.058,31,ACD,Primary
PORTSMOUTH,11/2019,3.1,30,ACD,Primary
PORTSMOUTH,12/2019,3.062,30,ACD,Primary
PORTSMOUTH,01/2020,2.973,31,ACD,Primary
PORTSMOUTH,02/2020,3.027,29,ACD,Primary
PORTSMOUTH,03/2020,2.879,31,ACD,Primary
PORTSMOUTH,04/2020,2.899,30,ACD,Primary
PORTSMOUTH,06/2020,2.967,30,ACD,Primary
PORTSMOUTH,07/2020,2.917,31,ACD,Primary
PORTSMOUTH,08/2020,3,31,ACD,Primary
PORTSMOUTH,09/2020,2.957,30,ACD,Primary
PORTSMOUTH,10/2020,3.037,31,ACD,Primary
PORTSMOUTH,11/2020,2.998,30,ACD,Primary
PORTSMOUTH,12/2020,3.084,31,ACD,Primary
PORTSMOUTH,01/2021,2.967,31,ACD,Primary
PORTSMOUTH,02/2021,2.961,28,ACD,Primary
PORTSMOUTH,03/2021,2.842,31,ACD,Primary
PORTSMOUTH,04/2021,2.854,30,ACD,Primary
PORTSMOUTH,05/2021,2.953,31,ACD,Primary
PORTSMOUTH,06/2021,2.884,23,ACD,Primary
PORTSMOUTH,07/2021,2.983,7,ACD,Primary
PORTSMOUTH,08/2021,3.007,2,ACD,Primary
PORTSMOUTH,12/2022,3.059,31,ACD,Primary
PORTSMOUTH,01/2023,3.006,31,ACD,Primary
PORTSMOUTH,02/2023,2.809,28,ACD,Primary
PORTSMOUTH,03/2023,3.022,28,ACD,Primary
PORTSMOUTH,04/2023,2.915,30,ACD,Primary
PORTSMOUTH,05/2023,2.846,31,ACD,Primary
PORTSMOUTH,06/2023,2.945,30,ACD,Primary
PORTSMOUTH,07/2023,3,31,ACD,Primary
PORTSMOUTH,08/2023,3.003,29,ACD,Primary
PORTSMOUTH,09/2023,3.035,30,ACD,Primary
PORTSMOUTH,10/2023,3.144,31,ACD,Primary
PORTSMOUTH,11/2023,3.158,30,ACD,Primary
PORTSMOUTH,12/2023,3.066,31,ACD,Primary
PORTSMOUTH,01/2024,3.009,31,ACD,Primary
PORTSMOUTH,02/2024,3.057,29,ACD,Primary
PORTSMOUTH,03/2024,3.044,31,ACD,Primary
PORTSMOUTH,04/2024,3.04,30,ACD,Primary
PORTSMOUTH,05/2024,2.968,31,ACD,Primary
PORTSMOUTH,06/2024,2.949,20,ACD,Primary
PORTSMOUTH,07/2024,2.97,13,ACD,Primary
PORTSMOUTH,08/2024,2.98,6,ACD,Primary
PORTSMOUTH,01/2014,3.036,31,ACD,Secondary
PORTSMOUTH,02/2014,3.05,28,ACD,Secondary
PORTSMOUTH,03/2014,2.847,31,ACD,Secondary
PORTSMOUTH,04/2014,2.895,30,ACD,Secondary
PORTSMOUTH,05/2014,2.867,31,ACD,Secondary
PORTSMOUTH,06/2014,2.864,30,ACD,Secondary
PORTSMOUTH,07/2014,2.905,31,ACD,Secondary
PORTSMOUTH,08/2014,2.942,31,ACD,Secondary
PORTSMOUTH,09/2014,2.924,30,ACD,Secondary
PORTSMOUTH,10/2014,3.016,31,ACD,Secondary
PORTSMOUTH,11/2014,3.072,30,ACD,Secondary
PORTSMOUTH,12/2014,2.897,31,ACD,Secondary
PORTSMOUTH,01/2015,2.917,31,ACD,Secondary
PORTSMOUTH,02/2015,2.792,28,ACD,Secondary
PORTSMOUTH,03/2015,2.763,31,ACD,Secondary
PORTSMOUTH,04/2015,2.783,30,ACD,Secondary
PORTSMOUTH,05/2015,2.867,31,ACD,Secondary
PORTSMOUTH,06/2015,2.809,30,ACD,Secondary
PORTSMOUTH,07/2015,2.901,31,ACD,Secondary
PORTSMOUTH,08/2015,2.927,31,ACD,Secondary
PORTSMOUTH,09/2015,2.931,30,ACD,Secondary
PORTSMOUTH,10/2015,2.949,31,ACD,Secondary
PORTSMOUTH,11/2015,2.998,30,ACD,Secondary
PORTSMOUTH,12/2015,3.005,31,ACD,Secondary
PORTSMOUTH,01/2016,3.019,31,ACD,Secondary
PORTSMOUTH,02/2016,2.94,29,ACD,Secondary
PORTSMOUTH,03/2016,2.809,31,ACD,Secondary
PORTSMOUTH,04/2016,2.894,30,ACD,Secondary
PORTSMOUTH,05/2016,2.896,19,ACD,Secondary
PORTSMOUTH,06/2016,2.87,7,ACD,Secondary
