determinand.definition,sample.sampleDateTime,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,Ammoniacal Nitrogen as N,pH,"Nitrogen, Total Oxidised as N",Nitrate as N,Nitrite as N,"Orthophosphate, reactive as P","Oxygen, Dissolved, % Saturation",Salinity : In Situ,Temperature of Water,BOD : 5 Day ATU,"Oxygen, Dissolved as O2","Nitrate, Filtered as N","Ammoniacal Nitrogen, Filtered as N","Nitrite, Filtered as N","Orthophosphate, Filtered as P","Nitrogen, Total Oxidised, Filtered as N",Turbidity : In Situ,Chlorophyll : Acetone Extract,Sample Depth below surface,Water Depth,Volume of Sample Filtered,NGR : Easting,NGR : Northing,"Nitrogen, Dissolved Inorganic : as N",Time of high tide,Time of sampling relative to previous high water,"Silicate, Filtered as SiO2"
determinand.notation,,,,,111,61,116,117,118,180,9901,7608,76,85,9924,9853,9993,6485,9856,9943,3976,7887,6,3428,4865,6019,6020,4925,4,7342,9857
0,2001-01-17T12:50:00,470680,105280,FINAL SEWAGE EFFLUENT,21.9,7.55,2.8,2.7,0.1,2.84,,,,3.7,,,,,,,,,,,,,,,,,
1,2001-01-17T13:08:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.043,8.45,8.74,8.73,0.0125,0.057,111.6,,6.7,1.6,,,,,,,,,,,,,,,,,
2,2001-01-17T14:28:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.9,8.75,8.74,0.0077,0.04,106.1,,8.1,1.4,,,,,,,,,,,,,,,,,
3,2001-01-18T05:34:00,468670,99700,ESTUARINE WATER,0.049,7.95,0.56,0.5539999999999999,0.006,0.037000000000000005,107.0,33.3,5.0,,,,,,,,,,,,,,,,,,
4,2001-01-18T05:46:00,469000,101200,ESTUARINE WATER,0.048,7.9,0.62,0.615,0.005,0.036000000000000004,106.2,33.3,5.04,,,,,,,,,,,,,,,,,,
5,2001-01-18T05:48:00,468380,101980,ESTUARINE WATER,0.049,7.95,0.72,0.7140000000000001,0.006,0.038,104.5,33.3,5.1,,,,,,,,,,,,,,,,,,
6,2001-01-18T06:06:00,467500,104000,ESTUARINE WATER,0.047,7.9,0.6,0.595,0.005,0.036000000000000004,105.6,33.4,5.2,4.0,,,,,,,,,,,,,,,,,
7,2001-01-18T06:27:00,470300,102000,ESTUARINE WATER,0.045,7.95,0.61,0.605,0.005,0.037000000000000005,105.9,33.3,5.1,,,,,,,,,,,,,,,,,,
8,2001-01-18T06:35:00,471800,104300,ESTUARINE WATER,0.102,7.9,0.85,0.843,0.006999999999999999,0.044,104.3,32.0,4.4,,,,,,,,,,,,,,,,,,
9,2001-01-18T06:39:00,470300,104550,ESTUARINE WATER,0.059,7.9,0.69,0.684,0.006,0.038,106.5,33.1,4.8,,,,,,,,,,,,,,,,,,
10,2001-01-18T06:44:00,470600,103800,ESTUARINE WATER,0.051,7.9,0.64,0.635,0.005,0.035,108.3,33.3,5.0,,,,,,,,,,,,,,,,,,
11,2001-01-24T12:14:00,466500,93300,ESTUARINE WATER,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
12,2001-01-30T08:27:00,474130,85280,SEA WATER,0.015,7.95,0.299,0.295,0.004,0.021,93.2,33.74,6.85,,,,,,,,,,,,,,,,,,
13,2001-01-30T09:01:00,483000,85500,SEA WATER,0.024,7.9,0.34600000000000003,0.341,0.005,0.023,92.4,33.38,6.27,,,,,,,,,,,,,,,,,,
14,2001-02-02T11:37:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.104,8.0,4.45,4.43,0.0185,0.053,105.4,,7.5,2.2,,,,,,,,,,,,,,,,,
15,2001-02-02T12:00:00,470680,105280,FINAL SEWAGE EFFLUENT,17.7,7.55,1.0,0.9,0.1,3.57,,,8.7,9.7,,,,,,,,,,,,,,,,,
16,2001-02-02T12:35:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.038,7.65,7.56,7.55,0.0105,0.037000000000000005,101.7,,9.2,1.7,,,,,,,,,,,,,,,,,
17,2001-02-07T10:45:00,470680,105280,FINAL SEWAGE EFFLUENT,10.1,7.6,1.7,1.23,0.47,1.74,,,10.5,5.4,,,,,,,,,,,,,,,,,
18,2001-02-13T13:35:00,466500,93300,ESTUARINE WATER,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,
19,2001-02-15T07:00:00,464200,96000,SEA WATER,0.031,7.95,0.407,0.402,0.005,0.026,94.8,33.16,7.06,1.0,,,,,,,,,,,,,,,,,
20,2001-02-20T10:34:00,468670,99700,ESTUARINE WATER,0.048,7.95,0.473,0.467,0.006,0.029,104.9,32.51,6.62,,,,,,,,,,,,,,,,,,
21,2001-02-20T10:43:00,469000,101200,ESTUARINE WATER,0.042,7.95,0.477,0.471,0.006,0.03,104.3,32.5,6.6,,,,,,,,,,,,,,,,,,
22,2001-02-20T10:46:00,468380,101980,ESTUARINE WATER,0.033,7.95,0.454,0.448,0.006,0.028,104.5,33.56,6.71,,,,,,,,,,,,,,,,,,
23,2001-02-20T10:56:00,467500,104000,ESTUARINE WATER,0.07,7.95,0.52,0.514,0.006,0.033,104.9,32.2,6.6,1.9,,,,,,,,,,,,,,,,,
24,2001-02-20T11:10:00,470300,102000,ESTUARINE WATER,0.107,7.95,0.68,0.672,0.008,0.042,103.5,31.81,6.7,,,,,,,,,,,,,,,,,,
25,2001-02-20T11:18:00,471800,104300,ESTUARINE WATER,0.08900000000000001,7.95,0.63,0.623,0.006999999999999999,0.038,103.9,30.9,6.68,,,,,,,,,,,,,,,,,,
26,2001-02-20T11:22:00,470300,104550,ESTUARINE WATER,0.7829999999999999,7.9,1.3,1.29,0.01,0.177,103.8,30.5,6.6,,,,,,,,,,,,,,,,,,
27,2001-02-20T11:25:00,470600,103800,ESTUARINE WATER,0.745,7.9,1.09,1.08,0.01,0.175,104.5,30.67,6.71,,,,,,,,,,,,,,,,,,
28,2001-02-20T17:30:00,464200,96000,SEA WATER,0.027000000000000003,7.95,0.435,0.43,0.005,0.026,93.0,32.87,6.88,1.0,,,,,,,,,,,,,,,,,
29,2001-02-21T10:00:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.75,8.49,8.48,0.0062,0.023,102.3,,8.93,1.4,,,,,,,,,,,,,,,,,
30,2001-02-21T10:50:00,470680,105280,FINAL SEWAGE EFFLUENT,18.5,7.55,1.0,0.9,0.1,2.83,,,11.5,12.2,,,,,,,,,,,,,,,,,
31,2001-02-21T11:16:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.033,8.35,8.36,8.34,0.0208,0.039,114.5,,9.0,2.7,,,,,,,,,,,,,,,,,
32,2001-03-01T09:47:00,474130,85280,SEA WATER,0.008,8.0,0.274,0.27,0.004,0.023,96.7,33.88,6.44,,,,,,,,,,,,,,,,,,
33,2001-03-01T10:11:00,483000,85500,SEA WATER,0.017,8.0,0.314,0.309,0.005,0.024,94.8,33.57,6.06,,,,,,,,,,,,,,,,,,
34,2001-03-01T10:15:00,470680,105280,FINAL SEWAGE EFFLUENT,17.3,7.55,1.0,0.9,0.1,2.8,,,9.1,8.8,,,,,,,,,,,,,,,,,
35,2001-03-05T13:10:00,470680,105280,FINAL SEWAGE EFFLUENT,21.4,7.6,1.0,0.9,0.1,3.64,,,11.1,8.0,,,,,,,,,,,,,,,,,
36,2001-03-05T13:31:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.85,8.32,8.31,0.0076,0.029,107.2,,8.79,1.0,,,,,,,,,,,,,,,,,
37,2001-03-05T14:56:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.75,7.19,7.17,0.0193,0.037000000000000005,121.1,,8.9,2.7,,,,,,,,,,,,,,,,,
38,2001-03-12T12:35:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.036000000000000004,8.4,3.45,3.42,0.0284,0.051,119.0,,9.5,2.0,,,,,,,,,,,,,,,,,
39,2001-03-12T13:55:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.75,6.73,6.72,0.0081,0.029,109.2,,10.1,1.4,,,,,,,,,,,,,,,,,
40,2001-03-15T09:50:00,470680,105280,FINAL SEWAGE EFFLUENT,16.3,7.55,1.0,0.9,0.1,3.37,,,11.6,5.0,,,,,,,,,,,,,,,,,
41,2001-03-20T08:45:00,468670,99700,ESTUARINE WATER,0.038,8.0,0.335,0.329,0.006,0.023,96.4,33.09,6.04,,,,,,,,,,,,,,,,,,
42,2001-03-20T08:53:00,469000,101200,ESTUARINE WATER,0.037000000000000005,7.95,0.322,0.317,0.005,0.023,96.0,33.1,6.05,,,,,,,,,,,,,,,,,,
43,2001-03-20T09:00:00,468380,101980,ESTUARINE WATER,0.039,7.95,0.338,0.333,0.005,0.023,95.8,33.1,6.03,,,,,,,,,,,,,,,,,,
44,2001-03-20T09:40:00,470300,102000,ESTUARINE WATER,0.08800000000000001,7.95,0.4,0.393,0.006999999999999999,0.031,96.0,33.1,5.9,,,,,,,,,,,,,,,,,,
45,2001-03-20T09:52:00,471800,104300,ESTUARINE WATER,0.069,7.95,0.63,0.622,0.008,0.027000000000000003,97.8,31.58,5.6,,,,,,,,,,,,,,,,,,
46,2001-03-20T10:00:00,470300,104550,ESTUARINE WATER,0.852,7.75,1.33,1.31,0.019,0.17,95.4,30.6,5.4,,,,,,,,,,,,,,,,,,
47,2001-03-20T10:08:00,470600,103800,ESTUARINE WATER,0.721,7.85,0.85,0.8340000000000001,0.016,0.162,96.2,31.76,5.7,,,,,,,,,,,,,,,,,,
48,2001-03-27T12:30:00,470680,105280,FINAL SEWAGE EFFLUENT,16.2,7.65,1.1,0.98,0.12,3.39,,,10.7,7.5,,,,,,,,,,,,,,,,,
49,2001-03-27T12:33:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.04,7.8,7.35,7.34,0.0117,0.028,100.9,,9.6,1.4,,,,,,,,,,,,,,,,,
50,2001-03-27T14:04:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.312,7.85,1.6,1.56,0.0421,0.061,101.2,,8.4,2.5,,,,,,,,,,,,,,,,,
51,2001-04-03T12:46:00,483000,85500,SEA WATER,0.008,8.0,0.251,0.246,0.005,0.016,102.7,33.1,9.21,,,,,,,,,,,,,,,,,,
52,2001-04-03T13:27:00,474130,85280,SEA WATER,0.006999999999999999,8.0,0.242,0.238,0.004,0.015,101.2,32.94,8.76,,,,,,,,,,,,,,,,,,
53,2001-04-11T11:58:00,466500,93300,ESTUARINE WATER,,7.95,,,,,,,,,,,,,,,,,,,,,,,,,
54,2001-04-11T12:30:00,466500,93300,ESTUARINE WATER,,7.79,,,,,,,,,,,,,,,,,,,,,,,,,
55,2001-04-18T07:39:00,468670,99700,ESTUARINE WATER,0.012,7.97,0.402,0.396,0.006,0.021,100.3,33.11,8.97,,,,,,,,,,,,,,,,,,
56,2001-04-18T07:57:00,469000,101200,ESTUARINE WATER,0.032,7.99,0.405,0.399,0.006,0.022,92.2,33.11,8.98,,,,,,,,,,,,,,,,,,
57,2001-04-18T08:00:00,468380,101980,ESTUARINE WATER,0.018000000000000002,7.99,0.41,0.404,0.006,0.022,93.5,33.1,8.9,,,,,,,,,,,,,,,,,,
58,2001-04-18T08:24:00,467500,104000,ESTUARINE WATER,0.013,8.03,0.408,0.402,0.006,0.021,90.0,33.07,8.95,,,,,,,,,,,,,,,,,,
59,2001-04-18T08:48:00,470300,102000,ESTUARINE WATER,0.035,8.03,0.424,0.417,0.006999999999999999,0.024,93.5,32.84,8.85,,,,,,,,,,,,,,,,,,
60,2001-04-18T08:59:00,471800,104300,ESTUARINE WATER,0.018000000000000002,8.03,0.42,0.413,0.006999999999999999,0.018000000000000002,97.9,32.96,9.04,,,,,,,,,,,,,,,,,,
61,2001-04-18T09:08:00,470300,104550,ESTUARINE WATER,0.213,8.08,0.79,0.7809999999999999,0.009000000000000001,0.081,112.6,30.96,9.31,,,,,,,,,,,,,,,,,,
62,2001-04-18T09:19:00,470600,103800,ESTUARINE WATER,0.03,8.01,0.409,0.403,0.006,0.023,112.4,33.02,8.93,,,,,,,,,,,,,,,,,,
63,2001-04-27T11:17:00,470680,105280,FINAL SEWAGE EFFLUENT,16.4,7.39,1.0,0.9,0.1,2.89,,,13.84,16.7,,,,,,,,,,,,,,,,,
64,2001-05-18T07:45:00,468670,99700,ESTUARINE WATER,0.008,8.38,0.07400000000000001,0.071,0.003,0.005,117.9,32.35,12.15,,,,,,,,,,,,,,,,,,
65,2001-05-18T08:13:00,469000,101200,ESTUARINE WATER,0.014,8.4,0.068,0.065,0.003,0.005,124.7,32.4,12.08,,,,,,,,,,,,,,,,,,
66,2001-05-18T08:52:00,468380,101980,ESTUARINE WATER,0.01,8.39,0.069,0.066,0.003,0.005,115.0,32.33,12.08,,,,,,,,,,,,,,,,,,
67,2001-05-18T09:16:00,467500,104000,ESTUARINE WATER,0.01,8.4,0.039,0.036000000000000004,0.003,0.005,112.8,32.52,12.07,,,,,,,,,,,,,,,,,,
68,2001-05-18T09:47:00,470300,102000,ESTUARINE WATER,0.012,8.39,0.073,0.07,0.003,0.005,116.5,32.36,11.98,,,,,,,,,,,,,,,,,,
69,2001-05-18T09:57:00,471800,104300,ESTUARINE WATER,0.384,8.3,0.358,0.353,0.005,0.048,94.5,30.16,12.04,,,,,,,,,,,,,,,,,,
70,2001-05-18T10:06:00,470300,104550,ESTUARINE WATER,0.009000000000000001,8.38,0.01,0.008,0.002,0.005,97.5,32.45,12.59,,,,,,,,,,,,,,,,,,
71,2001-05-18T10:14:00,470600,103800,ESTUARINE WATER,0.16699999999999998,8.32,0.309,0.306,0.003,0.025,97.5,30.69,12.3,,,,,,,,,,,,,,,,,,
72,2001-05-21T12:12:00,464200,96000,SEA WATER,0.014,8.33,0.04,0.037000000000000005,0.003,0.02,135.0,31.67,12.25,2.5,,,,,,,,,,,,,,,,,
73,2001-05-21T12:24:00,466500,93300,ESTUARINE WATER,,8.34,,,,,,,,,,,,,,,,,,,,,,,,,
74,2001-05-23T10:45:00,470680,105280,FINAL SEWAGE EFFLUENT,26.3,7.39,1.0,0.9,0.1,6.74,,,16.75,8.3,,,,,,,,,,,,,,,,,
75,2001-06-06T11:03:00,483000,85500,SEA WATER,0.017,8.34,0.01,0.008,0.002,0.02,157.1,33.48,14.8,,,,,,,,,,,,,,,,,,
76,2001-06-06T11:41:00,474130,85280,SEA WATER,0.016,8.31,0.01,0.008,0.002,0.021,104.9,33.18,14.12,,,,,,,,,,,,,,,,,,
77,2001-06-14T17:18:00,468670,99700,ESTUARINE WATER,0.009000000000000001,8.18,0.01,0.008,0.002,0.005,106.0,33.57,16.45,,,,,,,,,,,,,,,,,,
78,2001-06-14T17:24:00,469000,101200,ESTUARINE WATER,0.009000000000000001,8.13,0.01,0.008,0.002,0.005,107.8,33.97,16.15,,,,,,,,,,,,,,,,,,
79,2001-06-14T17:29:00,468380,101980,ESTUARINE WATER,0.009000000000000001,8.17,0.01,0.008,0.002,0.005,105.0,33.63,16.49,,,,,,,,,,,,,,,,,,
80,2001-06-14T17:44:00,467500,104000,ESTUARINE WATER,0.008,8.17,0.01,0.008,0.002,0.005,97.4,33.56,16.51,,,,,,,,,,,,,,,,,,
81,2001-06-14T18:03:00,470300,102000,ESTUARINE WATER,0.009000000000000001,8.18,0.01,0.008,0.002,0.005,94.0,33.63,16.49,,,,,,,,,,,,,,,,,,
82,2001-06-14T18:11:00,471800,104300,ESTUARINE WATER,0.014,8.19,0.012,0.01,0.002,0.005,97.7,33.53,16.58,,,,,,,,,,,,,,,,,,
83,2001-06-14T18:21:00,470300,104550,ESTUARINE WATER,0.006999999999999999,8.37,0.01,0.008,0.002,0.005,131.2,32.89,17.6,,,,,,,,,,,,,,,,,,
84,2001-06-14T18:28:00,470600,103800,ESTUARINE WATER,0.006999999999999999,8.36,0.01,0.008,0.002,0.005,108.5,33.09,17.99,,,,,,,,,,,,,,,,,,
85,2001-06-15T12:28:00,470680,105280,FINAL SEWAGE EFFLUENT,32.7,7.78,1.0,0.9,0.1,6.34,,,18.61,8.3,,,,,,,,,,,,,,,,,
86,2001-06-15T12:53:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.99,2.06,1.98,0.0786,0.108,145.0,,19.45,4.1,,,,,,,,,,,,,,,,,
87,2001-06-15T14:23:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.26,6.72,6.71,0.0052,0.024,98.3,,11.81,1.2,,,,,,,,,,,,,,,,,
88,2001-06-20T09:33:00,464200,96000,SEA WATER,0.009000000000000001,8.22,0.014,0.012,0.002,0.005,91.0,25.72,15.85,,,,,,,,,,,,,,,,,,
89,2001-06-21T11:47:00,466500,93300,ESTUARINE WATER,,8.23,,,,,,,,,,,,,,,,,,,,,,,,,
90,2001-06-26T13:28:00,474130,85280,SEA WATER,0.006999999999999999,8.09,0.01,0.008,0.002,0.006999999999999999,102.9,34.4,18.67,,,,,,,,,,,,,,,,,,
91,2001-06-26T14:26:00,483000,85500,SEA WATER,0.006999999999999999,8.13,0.01,0.008,0.002,0.005,98.5,33.51,17.32,,,,,,,,,,,,,,,,,,
92,2001-06-27T09:46:00,470680,105280,FINAL SEWAGE EFFLUENT,36.1,7.54,1.0,0.9,0.1,5.84,,,19.29,6.4,,,,,,,,,,,,,,,,,
93,2001-07-05T12:10:00,483000,85500,SEA WATER,0.006999999999999999,8.15,0.01,0.008,0.002,0.005,94.5,33.27,18.4,,,,,,,,,,,,,,,,,,
94,2001-07-05T12:41:00,474130,85280,SEA WATER,0.006999999999999999,8.14,0.01,0.008,0.002,0.005,91.8,33.35,17.98,,,,,,,,,,,,,,,,,,
95,2001-07-16T19:24:00,468670,99700,ESTUARINE WATER,0.025,8.0,0.052000000000000005,0.047,0.005,0.009000000000000001,100.1,18.16,18.47,,,,,,,,,,,,,,,,,,
96,2001-07-16T19:30:00,469000,101200,ESTUARINE WATER,0.021,8.13,0.035,0.031,0.004,0.006,106.1,33.76,18.52,,,,,,,,,,,,,,,,,,
97,2001-07-16T19:35:00,468380,101980,ESTUARINE WATER,0.018000000000000002,8.17,0.035,0.031,0.004,0.005,101.6,32.89,18.6,,,,,,,,,,,,,,,,,,
98,2001-07-16T19:46:00,467500,104000,ESTUARINE WATER,0.006999999999999999,8.23,0.014,0.012,0.002,0.005,112.1,0.47,18.29,,,,,,,,,,,,,,,,,,
99,2001-07-16T19:58:00,470300,102000,ESTUARINE WATER,0.018000000000000002,8.29,0.035,0.031,0.004,0.006,110.1,33.73,18.72,,,,,,,,,,,,,,,,,,
100,2001-07-16T20:05:00,471800,104300,ESTUARINE WATER,0.006999999999999999,8.38,0.01,0.008,0.002,0.008,114.9,16.7,18.6,,,,,,,,,,,,,,,,,,
101,2001-07-16T20:08:00,470300,104550,ESTUARINE WATER,0.006999999999999999,8.52,0.01,0.008,0.002,0.009000000000000001,134.6,33.17,18.6,,,,,,,,,,,,,,,,,,
102,2001-07-16T20:11:00,470600,103800,ESTUARINE WATER,0.006999999999999999,8.49,0.01,0.008,0.002,0.006999999999999999,126.0,8.51,18.57,,,,,,,,,,,,,,,,,,
103,2001-07-19T11:41:00,470680,105280,FINAL SEWAGE EFFLUENT,31.8,7.38,1.0,0.9,0.1,4.31,,,18.33,29.4,,,,,,,,,,,,,,,,,
104,2001-07-19T12:09:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.72,2.71,2.68,0.0256,0.085,155.8,,17.73,1.7,,,,,,,,,,,,,,,,,
105,2001-07-19T13:56:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.64,6.0,5.99,0.0062,0.033,98.6,,13.29,1.0,,,,,,,,,,,,,,,,,
106,2001-07-24T10:15:00,464200,96000,SEA WATER,0.014,8.12,0.045,0.04,0.005,0.014,96.8,33.95,17.35,,,,,,,,,,,,,,,,,,
107,2001-07-24T12:05:00,466500,93300,ESTUARINE WATER,,8.08,,,,,,,,,,,,,,,,,,,,,,,,,
108,2001-07-31T08:21:00,474130,85280,SEA WATER,0.009000000000000001,8.1,0.011,0.009000000000000001,0.002,0.005,101.9,32.33,19.01,,,,,,,,,,,,,,,,,,
109,2001-07-31T08:53:00,483000,85500,SEA WATER,0.008,8.13,0.01,0.008,0.002,0.005,99.6,33.87,19.8,,,,,,,,,,,,,,,,,,
110,2001-07-31T09:49:00,470680,105280,FINAL SEWAGE EFFLUENT,41.5,7.63,1.0,0.9,0.1,5.12,,,20.48,9.4,,,,,,,,,,,,,,,,,
111,2001-08-21T11:42:00,470680,105280,FINAL SEWAGE EFFLUENT,17.5,7.36,2.9,0.62,2.28,3.18,,,20.28,4.7,,,,,,,,,,,,,,,,,
112,2001-08-21T12:03:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.156,8.61,2.24,2.12,0.119,0.163,145.1,,20.06,7.4,,,,,,,,,,,,,,,,,
113,2001-08-21T14:05:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.68,5.79,5.78,0.0053,0.041,89.5,,13.95,1.0,,,,,,,,,,,,,,,,,
114,2001-08-21T14:45:00,466500,93300,ESTUARINE WATER,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,
115,2001-08-22T15:18:00,464200,96000,SEA WATER,0.028,8.14,0.033,0.029,0.004,0.01,97.4,33.72,18.8,1.0,,,,,,,,,,,,,,,,,
116,2001-08-28T06:13:00,468670,99700,ESTUARINE WATER,0.018000000000000002,8.02,0.018000000000000002,0.015,0.003,0.008,79.4,34.23,19.59,,,,,,,,,,,,,,,,,,
117,2001-08-28T06:17:00,469000,101200,ESTUARINE WATER,0.017,8.0,0.016,0.013,0.003,0.006,88.7,34.21,19.64,,,,,,,,,,,,,,,,,,
118,2001-08-28T06:22:00,468380,101980,ESTUARINE WATER,0.022,8.05,0.018000000000000002,0.015,0.003,0.006,86.8,34.22,19.68,,,,,,,,,,,,,,,,,,
119,2001-08-28T06:33:00,467500,104000,ESTUARINE WATER,0.046,8.03,0.025,0.021,0.004,0.01,83.2,34.11,19.96,,,,,,,,,,,,,,,,,,
120,2001-08-28T06:49:00,470300,102000,ESTUARINE WATER,0.021,8.03,0.015,0.011,0.004,0.006999999999999999,86.5,34.18,19.85,,,,,,,,,,,,,,,,,,
121,2001-08-28T06:57:00,471800,104300,ESTUARINE WATER,0.095,8.02,0.037000000000000005,0.032,0.005,0.016,82.6,33.95,20.08,,,,,,,,,,,,,,,,,,
122,2001-08-28T07:02:00,470300,104550,ESTUARINE WATER,0.112,8.01,0.04,0.034,0.006,0.018000000000000002,82.0,33.89,20.13,,,,,,,,,,,,,,,,,,
123,2001-08-28T07:06:00,470600,103800,ESTUARINE WATER,0.087,8.08,0.031,0.026,0.005,0.016,83.3,33.97,20.06,,,,,,,,,,,,,,,,,,
124,2001-09-26T06:17:00,468670,99700,ESTUARINE WATER,0.031,8.01,0.045,0.04,0.005,0.014,102.5,34.66,15.78,,,,,,,,,,,,,,,,,,
125,2001-09-26T06:23:00,469000,101200,ESTUARINE WATER,0.036000000000000004,8.01,0.049,0.043,0.006,0.016,101.2,34.63,15.65,,,,,,,,,,,,,,,,,,
126,2001-09-26T06:28:00,468380,101980,ESTUARINE WATER,0.031,8.01,0.049,0.044,0.005,0.012,101.4,34.65,15.74,,,,,,,,,,,,,,,,,,
127,2001-09-26T06:41:00,467500,104000,ESTUARINE WATER,0.066,8.06,0.051,0.045,0.006,0.015,109.6,34.53,15.45,,,,,,,,,,,,,,,,,,
128,2001-09-26T06:58:00,470300,102000,ESTUARINE WATER,0.035,8.01,0.05,0.044,0.006,0.011,107.3,34.61,15.6,,,,,,,,,,,,,,,,,,
129,2001-09-26T07:07:00,471800,104300,ESTUARINE WATER,0.136,8.02,0.078,0.07,0.008,0.02,101.5,34.28,15.21,,,,,,,,,,,,,,,,,,
130,2001-09-26T07:11:00,470300,104550,ESTUARINE WATER,0.159,8.02,0.096,0.086,0.01,0.064,97.4,34.3,15.21,,,,,,,,,,,,,,,,,,
131,2001-09-26T07:16:00,470600,103800,ESTUARINE WATER,0.123,8.0,0.071,0.063,0.008,0.019,88.3,34.41,15.26,,,,,,,,,,,,,,,,,,
132,2001-10-03T10:05:00,470680,105280,FINAL SEWAGE EFFLUENT,10.7,7.31,1.2,1.1,0.1,1.4,,,17.24,4.8,,,,,,,,,,,,,,,,,
133,2001-10-22T20:50:00,483000,85500,SEA WATER,0.022,8.08,0.109,0.097,0.012,0.032,93.0,32.67,15.48,,,,,,,,,,,,,,,,,,
134,2001-10-22T21:39:00,474130,85280,SEA WATER,0.016,7.95,0.15,0.135,0.015,0.037000000000000005,92.4,32.17,15.41,,,,,,,,,,,,,,,,,,
135,2001-10-30T10:35:00,466500,93300,ESTUARINE WATER,,8.01,,,,,,,,,,,,,,,,,,,,,,,,,
136,2001-11-05T11:46:00,470680,105280,FINAL SEWAGE EFFLUENT,28.3,7.36,1.0,0.9,0.1,1.98,,,16.98,8.3,,,,,,,,,,,,,,,,,
137,2001-11-05T12:17:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.247,8.73,2.63,2.57,0.0641,0.158,106.8,,10.38,2.2,,,,,,,,,,,,,,,,,
138,2001-11-05T14:03:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.74,5.42,5.42,0.0049,0.056,86.2,,10.7,1.0,,,,,,,,,,,,,,,,,
139,2001-11-16T11:51:00,470680,105280,FINAL SEWAGE EFFLUENT,38.7,7.36,1.0,0.9,0.1,2.31,,,15.59,11.8,,,,,,,,,,,,,,,,,
140,2001-11-21T12:58:00,466500,93300,ESTUARINE WATER,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
141,2001-11-22T14:53:00,468670,99700,ESTUARINE WATER,0.057,7.67,0.12,0.113,0.006999999999999999,0.011,94.2,34.33,10.9,,,,,,,,,,,,,,,,,,
142,2001-11-22T15:04:00,469000,101200,ESTUARINE WATER,0.087,7.77,0.13699999999999998,0.126,0.011,0.017,,34.35,10.88,,,,,,,,,,,,,,,,,,
143,2001-11-22T15:09:00,468380,101980,ESTUARINE WATER,0.08,7.79,0.106,0.098,0.008,0.013,95.2,29.39,10.88,,,,,,,,,,,,,,,,,,
144,2001-11-22T15:23:00,467500,104000,ESTUARINE WATER,0.079,7.82,0.07400000000000001,0.067,0.006999999999999999,0.01,90.4,34.47,10.82,,,,,,,,,,,,,,,,,,
145,2001-11-22T15:42:00,470300,102000,ESTUARINE WATER,0.068,7.87,0.08199999999999999,0.075,0.006999999999999999,0.01,90.8,34.35,10.82,,,,,,,,,,,,,,,,,,
146,2001-11-22T15:49:00,471800,104300,ESTUARINE WATER,0.08800000000000001,7.84,0.097,0.09,0.006999999999999999,0.012,89.7,34.28,10.3,,,,,,,,,,,,,,,,,,
147,2001-11-22T15:52:00,470300,104550,ESTUARINE WATER,0.081,7.84,0.096,0.08900000000000001,0.006999999999999999,0.011,91.8,34.17,10.12,,,,,,,,,,,,,,,,,,
148,2001-11-22T15:57:00,470600,103800,ESTUARINE WATER,0.087,7.83,0.114,0.107,0.006999999999999999,0.011,90.9,33.93,9.82,,,,,,,,,,,,,,,,,,
149,2001-11-28T11:39:00,470680,105280,FINAL SEWAGE EFFLUENT,33.5,7.22,1.0,0.9,0.1,2.75,,,15.11,11.7,,,,,,,,,,,,,,,,,
150,2001-11-28T11:59:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.068,8.29,1.8,1.77,0.0287,0.147,124.6,,8.15,1.8,,,,,,,,,,,,,,,,,
151,2001-11-28T13:36:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.79,5.67,5.67,0.004,0.024,69.7,,10.37,1.0,,,,,,,,,,,,,,,,,
152,2001-11-30T10:58:00,470680,105280,FINAL SEWAGE EFFLUENT,22.3,7.18,1.0,0.9,0.1,2.85,,,15.2,19.1,,,,,,,,,,,,,,,,,
